Masked_User_Id,1_11Score,1_12Score,2_14Score,2_15Score,3_17Score,3_18Score,1_11Grade,1_12Grade,2_14Grade,2_15Grade,3_17Grade,3_18Grade,Term,Repetitions,Dropped
stu396,-2,0,0,0,1,0,2.7,3.5,2.5,3.25,3.2,4,201408,0,NO
stu408,18,9,4,12,8,18,3.7,4,3.4,4,3.1,3.95,201408,0,NO
stu409,2,,1,1,9,0,1.9,,2.5,2.65,2.85,3.5,201408,0,YES
stu411,1,1,6,3,0,2,2.5,2.7,2,2.4,2.2,2.15,201408,0,NO
dstu26,,1,-2,,,,,2.25,2,,,,201408,2,NO
stu413,-2,4,2,4,0,2,2.6,3.1,2.75,3.15,2.95,3.65,201408,0,NO
stu414,10,1,15,6,3,5,2.55,3.3,2.75,3.2,2.75,3.45,201408,0,NO
stu415,5,3,2,3,0,1,2.85,3.35,2.15,3.55,2.45,2.55,201408,0,NO
stu418,5,5,3,10,11,7,2.35,2.4,2.35,3.9,3.35,3.95,201408,0,NO
stu419,,,1,1,,,,,2.25,2.25,,,201408,0,YES
stu421,11,0,4,6,8,1,3.15,2.85,3,3.8,2.8,3.85,201408,0,YES
stu422,9,5,6,0,0,2,2.9,2.95,2.55,2.6,2.85,3.15,201408,0,NO
stu423,5,-3,18,7,17,1,2.2,2.2,2.2,3.25,2.8,2.85,201408,0,NO
stu425,4,3,16,13,5,8,1.25,1.3,3.8,3.5,3.8,3.65,201408,0,NO
dstu27,,,,,,,,,,,,,201408,2,NO
stu428,7,8,13,4,11,4,1.85,3.4,3.05,2.55,2.65,3.25,201408,0,NO
dstu28,8,3,1,6,4,5,3.7,3.85,3.4,3.65,2.35,3.5,201408,2,YES
stu436,3,4,13,-2,5,2,1.5,2.15,2.6,2.5,2.3,2.4,201408,0,NO
stu437,11,6,5,3,9,2,3.1,3.85,2.95,3.6,3.3,3.8,201408,0,NO
stu439,5,9,5,1,3,0,2.2,3.4,2.45,2.3,2,2.65,201408,0,NO
stu441,-2,0,1,0,0,0,2.5,3.55,2.5,3.5,2.9,3.8,201408,0,NO
stu445,-7,-4,3,4,1,3,1.25,3.05,1.5,3,2.55,2.75,201408,0,NO
stu448,,,,,,,,,,,,,201408,0,NO
stu450,,6,1,4,,,,4,0,4,,,201408,0,YES
stu451,9,1,4,3,4,4,3.25,3.35,3.45,3.75,3.5,3.8,201408,0,NO
dstu30,,,,,,,,,,,,,201408,2,YES
stu453,2,5,3,6,2,9,2.85,3.7,3.15,3.15,2.85,3.45,201408,0,YES
stu456,7,4,2,1,8,4,2.35,3,1.5,2.25,2.9,3.75,201408,0,NO
stu458,2,0,3,-1,7,9,2.8,3.55,2.5,3.05,3.45,3.5,201408,0,NO
dstu31,2,2,,,,,2.9,3,,,,,201408,2,YES
stu460,5,0,4,1,0,1,1.55,2.05,0.8,2.1,0.95,2.1,201408,0,NO
stu461,2,1,5,0,3,4,1.7,2.1,1.95,3.2,2.35,3.6,201408,0,NO
stu463,8,9,11,1,6,6,2.9,3.2,3.15,3.05,3.25,3.9,201408,0,NO
stu464,0,2,5,4,3,2,3.75,3.75,3,3.6,2.35,3.3,201408,0,NO
stu467,0,,12,3,7,3,0,,3.9,3.8,3.55,4,201408,0,NO
stu472,-2,4,-1,2,6,-1,2.4,2.6,2.25,3.2,2.55,1.8,201408,0,NO
dstu34,4,0,9,-1,,,2.15,3,2.3,3.3,,,201408,2,NO
stu480,0,1,0,,,,3,3.6,2.5,,,,201408,0,YES
dstu35,3,1,11,-2,-4,1,1.9,1.15,2.15,2.5,1.25,2.1,201408,2,NO
stu481,1,1,6,8,8,8,2.15,1.45,1,1.65,1.9,3.3,201408,0,NO
stu482,,5,8,12,12,20,,3.4,1.7,3.6,3.05,3.5,201408,0,NO
dstu36,,,,,,,,,,,,,201408,2,NO
stu483,,,,,,,,,,,,,201408,0,YES
stu484,12,-1,6,-1,10,7,3.5,3.25,2.35,2.4,3.35,3.8,201408,0,NO
stu485,2,0,4,1,4,3,3.05,3.2,3.15,3.35,3.35,3.75,201408,0,NO
stu486,0,1,-3,2,7,3,1.8,2.1,1.9,2.05,1.5,2.5,201408,0,NO
stu487,9,4,3,6,-1,3,3.6,3.35,2.6,3.75,2.75,3.5,201408,0,NO
stu491,0,0,1,2,-3,,0.15,1.6,2,0,2.1,,201408,0,YES
stu492,4,2,4,6,10,1,3.55,3.9,3.85,3.95,3.35,3.55,201408,0,NO
stu493,9,1,7,4,3,4,2.75,3.15,3.4,3.5,2.75,3.5,201408,0,NO
stu495,,,,,,,,,,,,,201408,0,NO
stu497,8,3,1,2,7,5,3.45,3.6,3,3.6,3.15,3.7,201408,0,NO
stu498,5,2,1,3,-3,7,2.6,3.1,2,2.4,2.75,2.95,201408,0,NO
stu500,1,1,1,3,4,7,1.65,1.45,1.75,1.25,2.6,3.3,201408,0,NO
stu505,7,0,8,,6,4,2.5,2.85,1.95,,1.75,1.75,201408,0,NO
stu506,15,2,13,5,12,24,2.25,3.1,1.4,2.65,2.5,3.4,201408,0,NO
stu507,1,5,8,7,10,5,2.35,3.15,3.25,3.95,3.95,3.65,201408,0,NO
stu508,-3,-1,3,1,-1,2,2.1,2.55,3,3.25,2.35,3.25,201408,0,NO
stu510,1,4,2,1,-1,3,3.1,3.95,2.85,3.5,2.15,3.2,201408,0,NO
stu511,5,1,1,1,1,0,1.5,3.3,1.85,3.5,2.8,3.75,201408,0,NO
stu513,5,,,,,,1.4,,,,,,201408,0,YES
stu514,7,1,4,1,9,0,3.35,3.7,3.1,3.55,3.15,3.55,201408,0,NO
stu515,-2,0,,0,0,0,3.5,3.95,,3.95,1.7,1.7,201408,0,NO
stu516,3,15,-4,2,2,10,2.4,3.75,2.05,2.4,2.4,2.95,201408,0,NO
stu520,6,6,12,6,12,9,3.4,3.9,2.75,3.45,3,3.8,201408,0,NO
stu522,3,-2,0,0,2,6,2,2.15,2.2,2.2,2.05,2.25,201408,0,NO
stu527,,0,0,0,,,,3.8,0,3.8,,,201408,0,YES
stu530,7,8,4,8,25,6,2.4,3.75,2.55,3.85,2.3,3.65,201408,0,NO
stu532,8,9,-3,-2,2,6,0,3,2.2,1.95,2.1,2.3,201408,0,NO
stu534,4,3,6,3,1,2,3.35,3.4,3.2,3.95,3.7,4,201408,0,NO
stu538,6,0,9,,8,1,2.5,2.05,2.35,,2.6,3.3,201408,0,NO
stu539,1,1,2,3,5,9,3.75,3.75,2.95,3.35,2.5,3.15,201408,0,NO
stu540,6,3,1,11,10,6,2.2,3.35,1.95,3.9,2.6,3.5,201408,0,NO
stu541,-2,5,3,-1,7,0,1.8,2.25,2.25,3.25,1.85,2.15,201408,0,YES
stu542,-2,0,0,3,-1,2,2.95,3.5,2.7,3.4,2.55,3.2,201408,0,NO
stu547,5,1,1,2,1,3,2.5,2.9,2.65,2.75,3.3,3.85,201408,0,NO
stu548,5,8,4,6,0,3,2,2.95,2.7,3.55,1.5,3.25,201408,0,NO
stu551,0,0,1,1,0,2,1.95,2.15,1.5,1.65,2.3,2.45,201408,0,NO
stu554,-2,-1,8,1,0,2,1.45,2.45,2.5,2.5,2.15,2.65,201408,0,NO
dstu39,-2,,0,-2,,,2.05,,2.1,2.1,,,201408,2,NO
stu558,5,3,6,6,3,6,2.65,3.65,2.85,3.65,2.45,3.7,201408,0,NO
stu559,0,2,5,0,2,3,3.55,3.55,2.4,0,1.55,1.75,201408,0,NO
stu563,0,4,6,1,6,1,1,3.4,3.15,3.25,2.75,3.25,201408,0,NO
stu567,0,5,3,-6,13,-5,1.65,2.25,2.55,1.8,3.6,3.25,201408,0,YES
stu569,6,,2,4,0,-1,2.7,,1.05,2.1,1,2.25,201408,0,YES
stu571,7,7,4,2,13,10,3.05,2.9,2.3,2.2,3.4,3.75,201408,0,NO
stu573,5,0,-1,5,17,15,2.75,3.3,3.45,3.75,3.15,3.75,201408,0,NO
stu578,,2,-2,0,,,,2.1,1.75,1.75,,,201408,0,YES
